timestamp,session_uid,frame,suspension_pos_rl,suspension_pos_rr,suspension_pos_fl,suspension_pos_fr,suspension_vel_rl,suspension_vel_rr,suspension_vel_fl,suspension_vel_fr,suspension_acc_rl,suspension_acc_rr,suspension_acc_fl,suspension_acc_fr,wheel_speed_rl,wheel_speed_rr,wheel_speed_fl,wheel_speed_fr,wheel_slip_ratio_rl,wheel_slip_ratio_rr,wheel_slip_ratio_fl,wheel_slip_ratio_fr,wheel_slip_angle_rl,wheel_slip_angle_rr,wheel_slip_angle_fl,wheel_slip_angle_fr,wheel_lat_force_rl,wheel_lat_force_rr,wheel_lat_force_fl,wheel_lat_force_fr,wheel_long_force_rl,wheel_long_force_rr,wheel_long_force_fl,wheel_long_force_fr,height_of_cog,local_velocity_x,local_velocity_y,local_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,front_wheels_angle,wheel_vert_force_rl,wheel_vert_force_rr,wheel_vert_force_fl,wheel_vert_force_fr
1767772900.503243,13480315681547253999,0,30.464082717895508,30.953054428100586,53.68821716308594,53.668033599853516,-1.7660770416259766,0.3376860022544861,-1.5175025463104248,-0.5115317702293396,-93.36713409423828,-272.74969482421875,-108.87843322753906,-298.125,0.0,0.0,0.0,0.0,-0.00045751442667096853,-0.0003980275068897754,-0.00045698657049797475,-0.0003954760904889554,-0.00017206784104928374,-0.00017422983364667743,-0.00022655489738099277,-0.00022619565424975008,-95.11820983886719,175.6424102783203,-72.89827728271484,197.1402130126953,-54.877952575683594,-38.843631744384766,102.73462677001953,120.28681182861328,0.3015117645263672,0.0021487909834831953,-0.003222967265173793,0.0002688816748559475,-0.0030323753599077463,0.0007077156333252788,-0.0002838812069967389,-0.28685495257377625,0.08291085064411163,-0.4784020185470581,-0.0,2337.5380859375,2463.18359375,2041.0340576171875,2059.77978515625
1767772901.5149236,13480315681547253999,20,27.48444175720215,27.811532974243164,53.739192962646484,53.61130905151367,2.5076329708099365,-1.9863054752349854,1.5517945289611816,-1.7495909929275513,272.3090515136719,-131.8342742919922,151.508056640625,-141.69471740722656,0.0,0.0,0.0,0.0,-0.0005179529543966055,-0.0004335994308348745,-0.0005189446965232491,-0.0004310963850002736,1.3491068784787785e-05,1.0126698725798633e-05,1.76028970599873e-05,1.9129080101265572e-05,-91.66980743408203,137.05368041992188,-89.0819320678711,146.47296142578125,-39.45808410644531,-30.78156089782715,117.713623046875,124.25535583496094,0.30426025390625,-8.644149784231558e-05,-0.0005147758638486266,0.000829819415230304,0.002984065329656005,0.00020850097644142807,0.006261058617383242,-0.11910916864871979,0.06765063107013702,-0.06798731535673141,-0.0,2405.48486328125,2447.677734375,2094.30224609375,2014.548583984375
1767772902.5630822,13480315681547253999,41,27.76959991455078,28.086057662963867,53.68613815307617,53.55292892456055,0.04379551485180855,-0.005398052278906107,0.011610903777182102,-0.030758710578083992,5.250141143798828,0.875707745552063,0.3035082519054413,-3.4823927879333496,0.0,0.0,0.0,0.0,-0.00048432082985527813,-0.00045535049866884947,-0.0004853652499150485,-0.00045531668001785874,-9.900559962261468e-05,-0.00010265865421388298,1.5733277905383147e-05,1.7320140614174306e-05,-94.79183959960938,140.49594116210938,-74.13054656982422,158.691650390625,-45.5541877746582,-29.1330623626709,114.13396453857422,123.8459701538086,0.3041038513183594,-6.123279308667406e-05,-1.5498018910875544e-05,-0.00023637125559616834,0.003831462934613228,-0.0015613354044035077,0.00020874611800536513,-0.0023047644644975662,0.00028781546279788017,6.0653288528556004e-05,-0.0,2446.39794921875,2513.1953125,2045.33935546875,1984.1328125
1767772903.5667748,13480315681547253999,61,27.7645206451416,28.062244415283203,53.69737243652344,53.552059173583984,0.007467332761734724,-0.014730080962181091,0.012070482596755028,-0.010229222476482391,2.9645378589630127,0.01651267521083355,0.8859793543815613,-2.904273271560669,0.0,0.0,0.0,0.0,-0.00046686481800861657,-0.00046686347923241556,-0.00046711161849088967,-0.0004676170938182622,-0.0001503461244283244,-0.00015396380331367254,4.938764323014766e-05,5.096314271213487e-05,-95.08609771728516,139.88084411621094,-71.5675048828125,161.193115234375,-47.235721588134766,-27.760082244873047,113.54354095458984,124.29004669189453,0.3041038513183594,-0.00016801491437945515,0.0001612234191270545,-0.00027215215959586203,0.003886275691911578,-0.0016010573599487543,0.0007725610048510134,-0.001394895138218999,0.0004100319929420948,0.0007833634736016393,-0.0,2444.96728515625,2508.3017578125,2052.44287109375,1984.9505615234375
1767772904.6101177,13480315681547253999,82,27.759389877319336,28.046350479125977,53.70459747314453,53.55271911621094,-0.00561067508533597,-0.023564834147691727,0.015505866147577763,0.013873669318854809,2.779369592666626,-0.1942335069179535,1.4339371919631958,-1.4553674459457397,0.0,0.0,0.0,0.0,-0.0004604723653756082,-0.00047560600796714425,-0.00046032905811443925,-0.0004768103244714439,-0.00018260732758790255,-0.00018627250392455608,7.021765486570075e-05,7.181680120993406e-05,-93.9060287475586,139.96261596679688,-69.810302734375,162.19970703125,-48.04310607910156,-26.942123413085938,113.31362915039062,124.64791870117188,0.3041038513183594,-0.0002589240903034806,0.00027720542857423425,-0.00026711015379987657,0.003961797803640366,-0.0016341481823474169,0.0011979672126471996,0.0037003038451075554,0.0001664393930695951,0.006810843013226986,-0.0,2443.7548828125,2505.186767578125,2057.037353515625,1986.374267578125
1767772905.6143804,13480315681547253999,102,27.755067825317383,28.03969955444336,53.70750045776367,53.55339431762695,0.018615053966641426,0.010432613082230091,0.002659293357282877,-0.01902417652308941,3.8088691234588623,-0.25756388902664185,0.7813909649848938,-2.906153678894043,0.0,0.0,0.0,0.0,-0.00045742621296085417,-0.0004743319295812398,-0.00045707961544394493,-0.0004754652036353946,-0.00018804596038535237,-0.00019166359561495483,6.767644663341343e-05,6.925276102265343e-05,-94.1401138305664,139.10166931152344,-68.49077606201172,163.1060028076172,-48.20719909667969,-26.408292770385742,113.4148178100586,125.16382598876953,0.3041038513183594,-0.00029545443248935044,0.0003193790325894952,-0.0002961368300020695,0.003838582197204232,-0.0016782062593847513,0.0011488926829770207,-0.003916615154594183,0.00034232009784318507,-0.0006148273823782802,-0.0,2443.19775390625,2503.771484375,2058.7587890625,1987.0048828125
1767772906.6154468,13480315681547253999,122,27.757787704467773,28.07247543334961,53.680076599121094,53.543636322021484,0.0167094599455595,0.008816034533083439,-0.010046178475022316,0.0016401924658566713,-0.25278523564338684,-0.06154852733016014,0.2813107967376709,0.5750125050544739,0.0,0.0,0.0,0.0,-0.00047562181134708226,-0.0004996014758944511,-0.000475285662105307,-0.0005008645239286125,-0.00017654499970376492,-0.00018029384955298156,0.00010137884964933619,0.00010300663416273892,-96.27127075195312,137.2656707763672,-70.19190216064453,160.2154541015625,-50.329219818115234,-27.91530418395996,109.73123168945312,122.1904525756836,0.3041191101074219,-7.561923848697916e-05,0.00027988944202661514,-6.438203854486346e-05,0.0039243996143341064,-0.001685834489762783,0.00016501930076628923,-8.623824396636337e-05,0.0001767050998751074,0.0004061790823470801,-0.0,2443.637451171875,2509.67578125,2039.9111328125,1978.531005859375
1767772907.619203,13480315681547253999,142,27.758670806884766,28.077728271484375,53.67647933959961,53.54188537597656,0.02344241552054882,0.0025931873824447393,-0.01265475433319807,-0.029873520135879517,0.5390224456787109,-0.010022863745689392,-0.5331292748451233,-0.851401686668396,0.0,0.0,0.0,0.0,-0.000477111927466467,-0.0005000365781597793,-0.00047678322880528867,-0.0005012113251723349,-0.00016815730486996472,-0.0001718848361633718,0.00010114315955433995,0.0001027606485877186,-97.22053527832031,136.3380584716797,-70.09141540527344,160.8111572265625,-50.44354248046875,-27.9314022064209,109.44363403320312,122.4490966796875,0.3041191101074219,-4.381774488138035e-05,0.0002628221991471946,-2.549433338572271e-05,0.0038842218928039074,-0.0016648982418701053,6.619468331336975e-05,-0.0020455841440707445,0.0013080232311040163,0.00040838003042154014,-0.0,2443.874755859375,2510.5244140625,2037.359130859375,1977.0975341796875
1767772908.6578653,13480315681547253999,163,27.756792068481445,28.079057693481445,53.67454147338867,53.54237747192383,-0.019353242591023445,-0.005529498215764761,-0.0006143886712379754,0.023551564663648605,-1.966274380683899,-1.2403703927993774,0.9423384666442871,2.407053232192993,0.0,0.0,0.0,0.0,-0.0004800177412107587,-0.0005069934413768351,-0.000479737704154104,-0.0005083972937427461,-0.00017638433200772852,-0.00018017918046098202,0.00011483781418064609,0.00011648474173853174,-96.15760040283203,137.130615234375,-71.09076690673828,159.58726501464844,-50.68405532836914,-28.60720443725586,108.96372985839844,121.57606506347656,0.3041191101074219,-2.180576848331839e-05,0.00024007467436604202,4.609589268511627e-06,0.003926705569028854,-0.0016865073703229427,-2.782990486593917e-05,0.0032573991920799017,-0.00040358296246267855,0.0018110581440851092,-0.0,2443.039794921875,2510.64599609375,2036.3255615234375,1977.497802734375
1767772910.5132217,13480315681547253999,167,30.345888137817383,30.743938446044922,53.838436126708984,53.77035140991211,-14.212602615356445,-13.407071113586426,6.166150093078613,6.692309856414795,-477.9964904785156,-398.3197937011719,106.84605407714844,123.36894226074219,0.9567524790763855,0.8622039556503296,0.9282285571098328,0.9177221655845642,-0.00467631546780467,0.002227333141490817,4.9263286200584844e-05,-0.00021854521764907986,0.0002719540789257735,-0.0011084509314969182,-0.0002851453027687967,0.00022589242144022137,-108.41004943847656,244.1236114501953,-61.06203842163086,67.16410827636719,-609.8958129882812,-298.9144287109375,7.567902565002441,33.38562774658203,0.3019447326660156,-0.0008923173882067204,0.0230222437530756,0.9086013436317444,-0.03482888266444206,0.0017202149610966444,0.01602337509393692,-0.630551278591156,0.06517667323350906,0.31433361768722534,-0.0,2620.9931640625,2728.037353515625,2273.567138671875,2247.75830078125
