timestamp,session_uid,frame,car_index,front_wing,rear_wing,on_throttle_diff,off_throttle_diff,front_camber,rear_camber,front_toe,rear_toe,front_suspension,rear_suspension,front_anti_roll_bar,rear_anti_roll_bar,front_suspension_height,rear_suspension_height,brake_pressure,brake_bias,engine_braking,tyre_pressure_rl,tyre_pressure_rr,tyre_pressure_fl,tyre_pressure_fr,ballast,fuel_load
1763360921.5275807,3139107394136596315,0,0,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,1,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,2,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,3,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,4,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,5,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,6,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,7,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,8,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,9,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,10,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,11,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,12,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,13,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,14,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,15,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,16,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,17,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,18,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,19,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360921.5275807,3139107394136596315,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360921.5275807,3139107394136596315,0,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360923.0259094,3139107394136596315,30,0,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,1,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,2,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,3,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,4,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,5,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,6,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,7,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,8,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,9,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,10,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,11,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,12,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,13,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,14,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,15,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,16,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,17,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,18,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360923.0259094,3139107394136596315,30,19,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,110.0
1763360923.0259094,3139107394136596315,30,20,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360923.0259094,3139107394136596315,30,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360924.5277758,3139107394136596315,60,0,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,1,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,2,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,3,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,4,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,5,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,6,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,7,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,8,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,9,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,10,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,11,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,12,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,13,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,14,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,15,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,16,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,17,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,18,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360924.5277758,3139107394136596315,60,19,12,12,30,55,-3.4000000953674316,-1.899999976158142,0.04000000283122063,0.15000000596046448,37,19,15,8,25,49,97,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,110.0
1763360924.5277758,3139107394136596315,60,20,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360924.5277758,3139107394136596315,60,21,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1763360926.030352,3139107394136596315,90,0,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,1,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,2,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,3,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,4,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,5,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
1763360926.030352,3139107394136596315,90,6,10,12,90,55,-3.5,-2.0,0.020000001415610313,0.12000000476837158,37,10,15,10,25,46,100,58,50,21.5,21.5,24.299999237060547,24.299999237060547,6,10.0
